时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2015-01-05 16:00:00,3.05,0,0,0,0,0
2015-01-06 16:00:00,3.04,2.03,202993.6,0,10014672,0
2015-01-07 16:00:00,3.12,2.74,71307,0,0,0
2015-01-08 16:00:00,0.72,2.45,0,-29204.97,0,-10276131
2015-01-09 16:00:00,0.37,2.26,0,-18936.04,10260126,0
2015-01-12 16:00:00,-0.57,0.36,0,-190296,0,0
2015-01-13 16:00:00,-0.56,1.07,71361,0,0,0
2015-01-14 16:00:00,-0.89,2.02,95148,0,0,0
2015-01-15 16:00:00,1.99,1.81,0,-21205.32,0,-10212552
2015-01-16 16:00:00,2.87,2.89,108152.74,0,10190880,0
2015-01-19 16:00:00,-5.05,1.48,0,-141540,0,0
2015-01-20 16:00:00,-3.89,5.83,434730,0,0,0
2015-01-21 16:00:00,0.43,6.84,101100,0,0,0
2015-01-22 16:00:00,0.96,6.8,0,-3808.44,0,-10706490
2015-01-23 16:00:00,1.08,8.18,138494.38,0,10692060,0
2015-01-26 16:00:00,2.1,8.31,12882,0,0,0
2015-01-27 16:00:00,1.17,5.86,0,-244758,0,0
2015-01-28 16:00:00,-0.24,5.48,0,-38646,0,0
2015-01-29 16:00:00,-1.47,5.21,0,-26597.47,0,-10550358
2015-01-30 16:00:00,-2.81,5.21,0,0,0,0
2015-02-02 16:00:00,-5.09,5.21,0,0,0,0
2015-02-03 16:00:00,-2.72,3.66,0,-155272.13,10533756,0
2015-02-04 16:00:00,-3.73,7.84,418308,0,0,0
2015-02-05 16:00:00,-4.72,10.49,264469.53,0,0,-11078824
2015-02-06 16:00:00,-6.26,5.26,0,-523090.7,11059000,0
2015-02-09 16:00:00,-5.31,6.14,88472,0,0,0
2015-02-10 16:00:00,-3.59,12.11,597186,0,0,0
2015-02-11 16:00:00,-2.82,11.67,0,-44236,0,0
2015-02-12 16:00:00,-2.57,11.75,7554.4,0,0,-11202767
2015-02-13 16:00:00,-1.81,11.75,0,0,0,0
2015-02-16 16:00:00,-0.97,12.12,37275.6,0,11194667,0
2015-02-17 16:00:00,-0.32,11.74,0,-37748.04,11338932,-11357203
2015-02-25 16:00:00,-1.56,10.93,0,-80848,0,0
2015-02-26 16:00:00,0.92,13.96,303180,0,0,0
2015-02-27 16:00:00,1.11,13.78,0,-18337.78,11381128,-11399568
2015-03-02 16:00:00,1.91,15.99,221188,0,0,0
2015-03-03 16:00:00,-0.73,12.57,0,-341836,0,0
2015-03-04 16:00:00,-0.08,13.38,80432,0,0,0
2015-03-05 16:00:00,-1.06,13.03,0,-34851.19,0,-11340912
2015-03-06 16:00:00,-1.56,9.75,0,-327543.85,11312835,0
2015-03-09 16:00:00,0.11,11.38,162075,0,0,0
2015-03-10 16:00:00,-0.37,22.5,1112915,0,0,0
2015-03-11 16:00:00,-0.26,34.82,1231770,0,0,0
2015-03-12 16:00:00,1.67,46.41,1158669.85,0,0,-14673190
2015-03-13 16:00:00,2.38,46.24,0,-17307.79,14659305,0
2015-03-16 16:00:00,4.87,49.46,322750,0,0,0
2015-03-17 16:00:00,6.32,51.98,251745,0,0,0
2015-03-18 16:00:00,8.84,54.3,232380,0,0,0
2015-03-19 16:00:00,8.66,53.97,0,-32982.47,0,-15440360
2015-03-20 16:00:00,10.16,55.03,105807.5,0,15415008,0
2015-03-23 16:00:00,12.4,64.26,922432,0,0,0
2015-03-24 16:00:00,12.43,61.01,0,-324800,0,0
2015-03-25 16:00:00,11.51,58.67,0,-233856,0,0
2015-03-26 16:00:00,11.78,58.85,18269.35,0,0,-15928192
2015-03-27 16:00:00,12.39,57.59,0,-126466.08,15903615,0
2015-03-30 16:00:00,15.69,59.13,153720,0,0,0
